family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,D,D_R_43222,chck_100M,43222,R,ALL,1221,0.11192171127336324,0.7496688820232533,-0.5907339894263887,-2.0369847740590523,-1.925063062785689,0.8615905932966165,-0.47881227815302546,2.994266994266994,9.25962325962326
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_ge2,1205,0.11610556694358216,0.7444275665394499,-0.5994761331200105,-2.0649302476731077,-1.9488246807295257,0.860533133483032,-0.4833705661764283,3.020746887966805,9.269709543568466
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_ge3,716,0.42615071099313945,0.6877877914747379,-0.5668289757973655,-2.3712522239013256,-1.9451015129081863,1.1139385024678774,-0.14067826480422607,3.717877094972067,9.886871508379889
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_updates_1,16,-0.2031749188899994,1.1444054543972015,0.06765870749950409,0.06765870749950409,-0.1355162113904953,0.9412305355072021,-0.1355162113904953,1.0,8.5
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_updates_2,489,-0.3378664640165058,0.8273602433213183,-0.6472785148030653,-1.6164097262428339,-1.9542761902593395,0.4894937793048125,-0.9851449788195712,2.0,8.366053169734151
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_updates_3,296,-0.049864211396591085,0.7579913041680246,-0.43725768089093064,-2.1012721368791283,-2.1511363482757195,0.7081270927714335,-0.48712189228752173,3.0,9.54054054054054
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_updates_4,326,0.4789166926332047,0.6412973926385488,-0.7098497054053962,-2.4894402630718573,-2.010523570438653,1.1202140852717535,-0.23093301277219153,4.0,10.13803680981595
entity_ablation,D,D_R_43222,chck_100M,43222,R,rel_updates_5,94,1.7420944026175966,0.6279540708724488,-0.4788326506919049,-2.8115161067627845,-1.0694217041451881,2.3700484734900455,1.2632617519256917,5.0,10.106382978723405
entity_ablation,D,D_R_43222,chck_100M,43222,R,type_ambiref,399,-0.18627641658137614,0.8017724021933132,-0.4752275246127805,-1.383370527684838,-1.5696469442662142,0.6154959856119371,-0.6615039411941567,3.0526315789473686,9.230576441102757
entity_ablation,D,D_R_43222,chck_100M,43222,R,type_move_contents,381,0.12979822926555717,0.821492417141052,-0.6779144051193878,-2.192218600158773,-2.0624203708932156,0.9512906464066092,-0.5481161758538307,2.900262467191601,9.401574803149606
entity_ablation,D,D_R_43222,chck_100M,43222,R,type_regular,441,0.36627567875412315,0.6404759762914273,-0.6199207038971302,-2.4942364669373247,-2.1279607881832017,1.0067516550455504,-0.253645025143007,3.0226757369614514,9.16326530612245
entity_ablation,D,D_R_43222,chck_80M,43222,R,ALL,1221,0.20081685133199043,0.6912302981625806,-0.5727402273318398,-1.863262936686464,-1.6624460853544734,0.8920471494945711,-0.3719233759998494,2.994266994266994,9.25962325962326
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_ge2,1205,0.20327243424055488,0.6883218966084397,-0.5824216550625706,-1.8900799356617373,-1.6868075014211825,0.8915943308489946,-0.37914922082201574,3.020746887966805,9.269709543568466
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_ge3,716,0.5287473302063995,0.637264389315797,-0.5708154703401986,-2.2304311687303655,-1.7016838385239659,1.1660117195221964,-0.04206814013379912,3.717877094972067,9.886871508379889
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_updates_1,16,0.0158807635307312,0.9102692902088165,0.15639229863882065,0.15639229863882065,0.17227306216955185,0.9261500537395477,0.17227306216955185,1.0,8.5
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_updates_2,489,-0.27329203510820743,0.7630809461412255,-0.5994155778871479,-1.3917333449109444,-1.665025380019152,0.48978891103301797,-0.8727076129953554,2.0,8.366053169734151
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_updates_3,296,0.1286248117685318,0.6933566091229787,-0.4290852456076725,-2.0112780798730014,-1.8826532681044694,0.8219814208915105,-0.30046043383914073,3.0,9.54054054054054
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_updates_4,326,0.46321487143361495,0.6109938384747944,-0.7224899138226831,-2.3148543525692875,-1.8516394811356727,1.0742087099084094,-0.2592750423890681,4.0,10.13803680981595
entity_ablation,D,D_R_43222,chck_80M,43222,R,rel_updates_5,94,2.015979745286576,0.5517420756055954,-0.49109502295230295,-2.6277434705419744,-0.611763725255398,2.5677218208921717,1.5248847223342734,5.0,10.106382978723405
entity_ablation,D,D_R_43222,chck_80M,43222,R,type_ambiref,399,-0.0429581314101255,0.6770866286186945,-0.45291299255270706,-1.1839255194616198,-1.2268836508717453,0.634128497208569,-0.49587112396283256,3.0526315789473686,9.230576441102757
entity_ablation,D,D_R_43222,chck_80M,43222,R,type_move_contents,381,0.18914339153628962,0.7800278157934429,-0.6734426800073601,-2.0553785937782036,-1.8662352022419137,0.9691712073297325,-0.4842992884710705,2.900262467191601,9.401574803149606
entity_ablation,D,D_R_43222,chck_80M,43222,R,type_regular,441,0.4314604030242042,0.6273107288443313,-0.5941539058068983,-2.3119240798174387,-1.8804636767932348,1.0587711318685353,-0.16269350278269407,3.0226757369614514,9.16326530612245
entity_ablation,D,D_R_43222,chck_90M,43222,R,ALL,1221,0.1077918747621516,0.7279508138025129,-0.582977804539147,-2.007364963162248,-1.8995730884000963,0.8357426885646645,-0.4751859297769954,2.994266994266994,9.25962325962326
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_ge2,1205,0.11104572254592453,0.7228008965486313,-0.590921410262832,-2.034221593398771,-1.9231758708528464,0.8338466190945558,-0.4798756877169075,3.020746887966805,9.269709543568466
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_ge3,716,0.41151905476048006,0.6648155092443834,-0.5497892547461241,-2.324653863688338,-1.9131348089278577,1.0763345640048634,-0.138270199985644,3.717877094972067,9.886871508379889
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_1,16,-0.13726353645324707,1.1158039569854736,0.015275001525878906,0.015275001525878906,-0.12198853492736816,0.9785404205322266,-0.12198853492736816,1.0,8.5
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_2,489,-0.3289111401649584,0.8077038358325607,-0.651147633882388,-1.608966980868444,-1.9378781210334024,0.4787926956676023,-0.9800587740473464,2.0,8.366053169734151
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_3,296,-0.03979144446753167,0.7224578691294065,-0.4298268764002903,-2.0626015477889292,-2.102392992256461,0.6826664246618748,-0.46961832086782196,3.0,9.54054054054054
