family,arch,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
copy,D,D_C_43222,chck_100M,43222,C,ALL,2000,3.597287314325895,0.4339666307109487,4.031253945036844,3.739229700610558,0.08361171794051395
copy,D,D_C_43222,chck_100M,43222,C,domain_bnc_spoken,180,3.7682679646443122,0.856332766486998,4.62460073113131,3.316567390634961,0.24720233791396237
copy,D,D_C_43222,chck_100M,43222,C,domain_childes,642,2.4010379360413334,0.31437559061482306,2.7154135266561563,3.1111232539341667,0.1227862407000438
copy,D,D_C_43222,chck_100M,43222,C,domain_gutenberg,468,4.338594977069219,0.35639609306792375,4.694991070137142,3.903903603376421,0.18045800790310662
copy,D,D_C_43222,chck_100M,43222,C,domain_open_subtitles,434,4.329591371480205,0.5814069661029887,4.910998337583194,3.850438672942902,0.18482697085896121
copy,D,D_C_43222,chck_100M,43222,C,domain_simple_wiki,272,3.8802593730782613,0.34032906762259996,4.220588440700861,4.176601243645017,0.25324364828874246
copy,D,D_C_43222,chck_100M,43222,C,domain_switchboard,4,2.4710965272970498,0.06768326042219996,2.5387797877192497,2.078864065308402,1.039432032654201
copy,D,D_C_43222,chck_100M,43222,C,span_1,1000,3.6127885651636418,0.5912755194960673,4.204064084659709,3.958931116066355,0.12519239426482104
copy,D,D_C_43222,chck_100M,43222,C,span_4,1000,3.581786063488149,0.27665774192583015,3.8584438054139794,3.50571837838449,0.1108605491080699
copy,D,D_C_43222,chck_80M,43222,C,ALL,2000,3.6135650503183854,0.4513260041554254,4.064891054473811,3.7490153066174776,0.08383053074283897
copy,D,D_C_43222,chck_80M,43222,C,domain_bnc_spoken,180,3.8267956345584633,0.8939215138389651,4.720717148397428,3.3638314099342104,0.25072518991539516
copy,D,D_C_43222,chck_80M,43222,C,domain_childes,642,2.429780646392176,0.33065962137738314,2.760440267769559,3.1651732212117367,0.12491942275368983
copy,D,D_C_43222,chck_80M,43222,C,domain_gutenberg,468,4.364697791335748,0.3782694718191543,4.7429672631549025,3.910299114696782,0.18075364051847037
copy,D,D_C_43222,chck_80M,43222,C,domain_open_subtitles,434,4.3083806834278855,0.5959418311276289,4.904322514555514,3.8272567786954688,0.18371420432598562
copy,D,D_C_43222,chck_80M,43222,C,domain_simple_wiki,272,3.878594309523414,0.34364335235049154,4.222237661873906,4.1580747539190925,0.2521203148473909
copy,D,D_C_43222,chck_80M,43222,C,domain_switchboard,4,2.723569072317332,0.08069988386705518,2.804268956184387,2.352436870832724,1.176218435416362
copy,D,D_C_43222,chck_80M,43222,C,span_1,1000,3.612600245387631,0.6130179702242377,4.225618215611869,3.956017982144412,0.12510027288159664
copy,D,D_C_43222,chck_80M,43222,C,span_4,1000,3.6145298552491396,0.28963403808661314,3.9041638933357525,3.5298939646620013,0.11162504827213837
copy,D,D_C_43222,chck_90M,43222,C,ALL,2000,3.6080782416776604,0.4396818186267387,4.047760060304399,3.739622969058356,0.08362051169034077
copy,D,D_C_43222,chck_90M,43222,C,domain_bnc_spoken,180,3.7625477937510974,0.8656950746816519,4.628242868432749,3.316849343860119,0.24722335346656002
copy,D,D_C_43222,chck_90M,43222,C,domain_childes,642,2.423156015576509,0.3200806150468829,2.7432366306233917,3.1266585875693735,0.12339937141181352
copy,D,D_C_43222,chck_90M,43222,C,domain_gutenberg,468,4.348982805280529,0.3627222248621839,4.711705030142713,3.910848149876991,0.18077901967865342
copy,D,D_C_43222,chck_90M,43222,C,domain_open_subtitles,434,4.325701093642443,0.5868138519898599,4.912514945632303,3.8388037731716245,0.18426847779787597
copy,D,D_C_43222,chck_90M,43222,C,domain_simple_wiki,272,3.899820044840239,0.34308739187382037,4.242907436714059,4.168971975043937,0.2527810559315592
copy,D,D_C_43222,chck_90M,43222,C,domain_switchboard,4,2.450609692838043,0.07394634047523141,2.5245560333132744,2.0922874099779465,1.0461437049889732
copy,D,D_C_43222,chck_90M,43222,C,span_1,1000,3.6233114583303885,0.5992895076939739,4.222600966024363,3.9623940287019077,0.12530190117748627
copy,D,D_C_43222,chck_90M,43222,C,span_4,1000,3.5928450250249324,0.2800741295595035,3.872919154584436,3.502646051336897,0.11076339359619655
copy,D,D_R_43222,chck_100M,43222,R,ALL,2000,4.187040071393741,0.20712771157045345,4.394167782964195,4.132137317523374,0.09239739934345896
