contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_30M,30000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,Entity,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_40M,40000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,Entity,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_50M,50000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,Entity,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_60M,60000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,Entity,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_70M,70000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,Entity,False,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_80M,80000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,Entity,False,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_90M,90000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,Entity,False,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,COMPS,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,cheap6_no_GlobalPIQA,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,exEntity5,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,exEntity4_noReading,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_100M,100000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_10M,10000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_20M,20000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_30M,30000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_40M,40000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_50M,50000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_60M,60000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,Entity,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_70M,70000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,Entity,False,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_80M,80000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,Entity,False,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_90M,90000000,EWoK_plus_Entity_sum,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,BLiMP,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,Supplement,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,EWoK,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,Entity,False,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,COMPS,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,cheap6_no_GlobalPIQA,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,exEntity5,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,exEntity4_noReading,True,True
D2_RminusCmax,D2_R,D2_Cmax,chck_100M,100000000,EWoK_plus_Entity_sum,True,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_10M,10000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_20M,20000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_30M,30000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_40M,40000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_50M,50000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_60M,60000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,Entity,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_70M,70000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_80M,80000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_90M,90000000,EWoK_plus_Entity_sum,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,BLiMP,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,Supplement,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,EWoK,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,COMPS,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,cheap6_no_GlobalPIQA,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,exEntity5,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,exEntity4_noReading,False,True
Rbt_VminusR,Rbt_V,Rbt_R,chck_100M,100000000,EWoK_plus_Entity_sum,False,True
Rbt_RminusC,Rbt_R,Rbt_C,chck_10M,10000000,BLiMP,True,False
Rbt_RminusC,Rbt_R,Rbt_C,chck_10M,10000000,Supplement,True,False
