contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_20M,20000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_20M,20000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_20M,20000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,Entity,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_30M,30000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,Entity,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_40M,40000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,Entity,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_50M,50000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,Entity,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_60M,60000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,Entity,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_70M,70000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,Entity,False,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_80M,80000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,Entity,False,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_90M,90000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,BLiMP,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,Supplement,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,EWoK,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,Entity,False,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,COMPS,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,exEntity5,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,exEntity4_noReading,True,True
deberta_basin2_VminusC_maxgeom,deberta_basin2_view,deberta_basin2_clean_maxgeom,chck_100M,100000000,EWoK_plus_Entity_sum,True,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_10M,10000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_20M,20000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_30M,30000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_40M,40000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_50M,50000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_60M,60000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,Entity,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_70M,70000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_80M,80000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_90M,90000000,EWoK_plus_Entity_sum,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,BLiMP,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,Supplement,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,EWoK,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,COMPS,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,cheap6_no_GlobalPIQA,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,exEntity5,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,exEntity4_noReading,False,True
roberta_VminusR,roberta_view,roberta_repeat,chck_100M,100000000,EWoK_plus_Entity_sum,False,True
