arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.44417333602905273,11,4.44943380355835,gutenberg,34715,18,4.893607139587402
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.09894323348999023,8,4.0240559577941895,open_subtitles,46093,11,4.12299919128418
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,0.656494140625,8,7.935791969299316,childes,9638,11,8.592286109924316
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,0.0987548828125,8,6.097455978393555,open_subtitles,38847,12,6.196210861206055
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,0.10410594940185547,28,9.073974609375,gutenberg,25389,52,9.178080558776855
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,0.006047725677490234,8,5.998212814331055,gutenberg,23610,11,6.004260540008545
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,0.07132434844970703,19,4.145900249481201,childes,9850,31,4.217224597930908
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,0.0019237995147705078,28,3.1760976314544678,gutenberg,33545,48,3.1780214309692383
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,0.6407971382141113,8,6.7912917137146,gutenberg,27677,11,7.432088851928711
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.0926978588104248,11,3.2383954524993896,gutenberg,31140,18,3.3310933113098145
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.4274125099182129,8,4.495156764984131,open_subtitles,39267,11,4.922569274902344
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,2.1434125900268555,8,5.329316139221191,bnc_spoken,4664,10,7.472728729248047
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,0.4595003128051758,8,10.743481636047363,open_subtitles,42641,11,11.202981948852539
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,0.46132993698120117,9,3.383363723754883,childes,16252,14,3.844693660736084
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,0.5603733062744141,9,7.319562911987305,childes,21179,14,7.879936218261719
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,0.4758157730102539,13,8.579710960388184,gutenberg,36547,21,9.055526733398438
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,0.03801870346069336,28,7.657663345336914,gutenberg,31372,53,7.695682048797607
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,0.36481380462646484,8,8.23114013671875,open_subtitles,48479,12,8.595953941345215
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,0.9023804664611816,8,4.6041388511657715,childes,8771,10,5.506519317626953
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,0.15592050552368164,8,4.811517238616943,gutenberg,35397,12,4.967437744140625
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,0.5642824172973633,8,4.788744926452637,childes,21260,10,5.35302734375
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,0.7589616775512695,8,4.603848457336426,childes,13377,13,5.362810134887695
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,0.17392683029174805,11,4.147864818572998,childes,10575,17,4.321791648864746
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,0.6957693099975586,8,7.825395584106445,childes,16330,10,8.521164894104004
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,0.1817760467529297,19,13.827128410339355,open_subtitles,47969,30,14.008904457092285
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,0.608942985534668,8,9.912301063537598,gutenberg,37483,10,10.521244049072266
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.09165143966674805,13,4.350940704345703,childes,14826,21,4.442592144012451
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,0.30228614807128906,8,9.239294052124023,open_subtitles,40156,10,9.541580200195312
RBT,RBT_V_43022,chck_60M,43022,V,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,0.2754678726196289,9,4.642192840576172,childes,19420,14,4.917660713195801
