family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,D,D_C_43122,chck_100M,43122,C,ALL,1221,0.5047047370945597,0.1464490374759218,-0.5284660929031395,-2.0686312716921074,-1.5639265345975475,0.6511537745704815,-0.023761355808579854,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_ge2,1205,0.5044704433669688,0.1372073497762324,-0.530324071905425,-2.0909395767198062,-1.5864691333528376,0.6416777931432012,-0.0258536285384562,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_ge3,716,0.7705800186572128,0.03830063879989379,-0.4896036828529901,-2.4273357889276808,-1.656755770270468,0.8088806574571066,0.2809763358042227,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_updates_1,16,0.5223499834537506,0.8424636423587799,-0.38853704929351807,-0.38853704929351807,0.13381293416023254,1.3648136258125305,0.13381293416023254,1.0,8.5
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_updates_2,489,0.11482942924055829,0.28202781001970567,-0.5899473818472314,-1.5983839776587876,-1.4835545484182293,0.39685723926026395,-0.4751179526066731,2.0,8.366053169734151
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_updates_3,296,0.644455723464489,-0.0333865323179477,-0.468768198244475,-2.4236774456662102,-1.779221722201721,0.6110691911465412,0.17568752522001396,3.0,9.54054054054054
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_updates_4,326,0.4488947140110051,0.13074767580427274,-0.531493677591985,-2.4067392407979336,-1.9578445267869284,0.5796423898152778,-0.08259896358097989,4.0,10.13803680981595
entity_ablation,D,D_C_43122,chck_100M,43122,C,rel_updates_5,94,2.2833693877179573,-0.056575227291026015,-0.40993522709988534,-2.5102862601584577,-0.22691687244050046,2.2267941604269312,1.8734341606180718,5.0,10.106382978723405
entity_ablation,D,D_C_43122,chck_100M,43122,C,type_ambiref,399,0.3067061462647335,0.2273819155636288,-0.35620546912340295,-1.014842550874802,-0.7081364046100685,0.5340880618283623,-0.049499322858669405,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43122,chck_100M,43122,C,type_move_contents,381,0.5153639792926669,0.15497030423382135,-0.694977721908274,-2.4608176281758807,-1.945453648883214,0.6703342835264882,-0.17961374261560714,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43122,chck_100M,43122,C,type_regular,441,0.6746373141095752,0.06586214180300835,-0.5404639573864926,-2.683231493428586,-2.0085941793190107,0.7404994559125836,0.1341733567230826,3.0226757369614514,9.16326530612245
entity_ablation,D,D_C_43122,chck_80M,43122,C,ALL,1221,0.5907735023510251,-0.03158911345046041,-0.5668933443804436,-1.9626353777194492,-1.371861875368424,0.5591843889005647,0.023880157970581555,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_ge2,1205,0.5905407228410491,-0.03978800538664537,-0.5683983309634988,-1.9826730386041012,-1.392132315763052,0.5507527174544038,0.022142391877550308,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_ge3,716,0.8224294776481956,-0.11863337700676652,-0.5197790709828864,-2.257505440335284,-1.4350759626870881,0.7037961006414291,0.3026504066653092,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_updates_1,16,0.6083047091960907,0.5858899354934692,-0.4535490423440933,-0.4535490423440933,0.15475566685199738,1.19419464468956,0.15475566685199738,1.0,8.5
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_updates_2,489,0.25100626794960357,0.07565838741500441,-0.6395872678676265,-1.580259951406705,-1.3292536834571016,0.326664655364608,-0.38858099991802303,2.0,8.366053169734151
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_updates_3,296,0.6956523150406979,-0.16113320234659556,-0.5347880404945966,-2.275569813275659,-1.5799174982349615,0.5345191126941023,0.16086427454610128,3.0,9.54054054054054
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_updates_4,326,0.5092695558820766,-0.037957025131930604,-0.5288067864585508,-2.219502723084454,-1.7102331672023776,0.47131253075014595,-0.019537230576474243,4.0,10.13803680981595
entity_ablation,D,D_C_43122,chck_80M,43122,C,rel_updates_5,94,2.307707931133027,-0.2645965941408847,-0.4412078984240268,-2.332418540690808,-0.024710609557780813,2.043111336992142,1.866500032709,5.0,10.106382978723405
entity_ablation,D,D_C_43122,chck_80M,43122,C,type_ambiref,399,0.3262457055854319,0.15062646504332847,-0.3161546822105135,-0.8723615435579964,-0.5461158379725645,0.4768721706287604,0.01009102337491841,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43122,chck_80M,43122,C,type_move_contents,381,0.5751855829412856,-0.05356052087673678,-0.7182254925409327,-2.346511770929564,-1.7713261879882787,0.5216250620645488,-0.14303990959964713,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43122,chck_80M,43122,C,type_regular,441,0.8435752896630034,-0.17746872703234354,-0.6630093937152638,-2.617425296126174,-1.7738500064631708,0.6661065626306598,0.18056589594773964,3.0226757369614514,9.16326530612245
entity_ablation,D,D_C_43122,chck_90M,43122,C,ALL,1221,0.5013563825667247,0.15598971610865955,-0.5617480889316664,-2.071384590262521,-1.5700282076957965,0.6573460986753842,-0.06039170636494173,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_ge2,1205,0.5020498564010833,0.14679688089121426,-0.5635465515228723,-2.093228018846502,-1.5911781624454187,0.6488467372922977,-0.06149669512178888,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_ge3,716,0.778491284885553,0.04651602257729909,-0.5258532402901676,-2.43297349690725,-1.654482212021697,0.8250073074628521,0.2526380445953854,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_updates_1,16,0.4491291344165802,0.8483251184225082,-0.42630137503147125,-0.42630137503147125,0.022827759385108948,1.2974542528390884,0.022827759385108948,1.0,8.5
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_updates_2,489,0.09728081183077611,0.29362938508909414,-0.6187375757409019,-1.5957683822585762,-1.4984875704278,0.3909101969198703,-0.5214567639101259,2.0,8.366053169734151
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_updates_3,296,0.6710554556669416,-0.024734977330710436,-0.5190759821719414,-2.4506291855831406,-1.7795737299161989,0.6463204783362311,0.15197947349500013,3.0,9.54054054054054
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_updates_4,326,0.4475563736232512,0.14612881638155392,-0.5584704132716348,-2.3963535865026016,-1.9487972128793505,0.5936851900048051,-0.11091403964838367,4.0,10.13803680981595
entity_ablation,D,D_C_43122,chck_90M,43122,C,rel_updates_5,94,2.2645102904198016,-0.07458477324627816,-0.4340752616841742,-2.504377826097164,-0.239867535677362,2.1899255171735237,1.8304350287356275,5.0,10.106382978723405
entity_ablation,D,D_C_43122,chck_90M,43122,C,type_ambiref,399,0.3154598929753578,0.242122224996562,-0.3926687896401064,-1.0514485972903127,-0.7359887043149549,0.5575821179719198,-0.07720889666474852,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43122,chck_90M,43122,C,type_move_contents,381,0.4770557198311713,0.16054376905045797,-0.7144050196869167,-2.4422087651381656,-1.9651530453069943,0.6375994888816293,-0.23734929985574538,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43122,chck_90M,43122,C,type_regular,441,0.6905428946964325,0.07412584940322132,-0.5828373175021472,-2.6738119158142006,-1.9832690211177684,0.7646687440996538,0.10770557719428524,3.0226757369614514,9.16326530612245
entity_ablation,D,D_VS_43122,chck_100M,43122,V,ALL,1221,-0.11838020324511767,0.6256757594590105,-0.42602651505856903,-0.8925950563071108,-1.0109752595522286,0.5072955562138929,-0.5444067183036867,2.994266994266994,9.25962325962326
entity_ablation,D,D_VS_43122,chck_100M,43122,V,rel_ge2,1205,-0.1127824472193896,0.6101707677870866,-0.43422969179034726,-0.9069933340015253,-1.019775781220915,0.49738832056769694,-0.5470121390097369,3.020746887966805,9.269709543568466
entity_ablation,D,D_VS_43122,chck_100M,43122,V,rel_ge3,716,0.004611227682182909,0.6281381445890032,-0.43527330408216186,-1.0108088702379658,-1.0061976425557828,0.6327493722711861,-0.430662076399979,3.717877094972067,9.886871508379889
