family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,D,D_C_43022,chck_100M,43022,C,ALL,1221,0.4422534441698974,0.18083613583731123,-0.5316946999239297,-1.818216658585585,-1.3759632144156877,0.6230895800072086,-0.08944125575403226,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_ge2,1205,0.4403992726224092,0.17468011225902194,-0.5462310724424129,-1.8498354803477086,-1.4094362077252993,0.6150793848814311,-0.10583179982000367,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_ge3,716,0.6666370884374866,0.08173102839699005,-0.5247672748382531,-2.223741971918866,-1.557104883481379,0.7483681168344767,0.1418698135992335,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_updates_1,16,0.5818957388401031,0.6444616615772247,0.5630758553743362,0.5630758553743362,1.1449715942144394,1.2263574004173279,1.1449715942144394,1.0,8.5
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_updates_2,489,0.1091389942510484,0.31077733934535084,-0.5776586370325527,-1.3023568546525175,-1.193217860401469,0.41991633359639924,-0.4685196427815043,2.0,8.366053169734151
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_updates_3,296,0.44005334875672253,-0.0728247452879677,-0.5206285681122461,-2.1549501163205385,-1.7148967675638158,0.3672286034687548,-0.08057521935552359,3.0,9.54054054054054
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_updates_4,326,0.7787969745924136,0.2300981174628793,-0.5591280894365414,-2.2533259278654687,-1.474528953273055,1.008895092055293,0.21966888515587232,4.0,10.13803680981595
entity_ablation,D,D_C_43022,chck_100M,43022,C,rel_updates_5,94,0.9911547911928055,0.05386760260196442,-0.4186335687941693,-2.337763457222188,-1.3466086660293823,1.04502239379477,0.5725212223986362,5.0,10.106382978723405
entity_ablation,D,D_C_43022,chck_100M,43022,C,type_ambiref,399,0.8565299104628408,0.16516308262384027,-0.5444682768188921,-1.2511089965887834,-0.3945790861259427,1.021692993086681,0.3120616336439486,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43022,chck_100M,43022,C,type_move_contents,381,0.002698473339005718,0.23738656492214502,-0.4876155484262414,-1.9866756611843435,-1.9839771878453378,0.24008503826115074,-0.4849170750872357,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43022,chck_100M,43022,C,type_regular,441,0.4471834528675966,0.1461600241612415,-0.5582196421904358,-2.185774656650431,-1.7385912037828342,0.593343477028838,-0.11103618932283925,3.0226757369614514,9.16326530612245
entity_ablation,D,D_C_43022,chck_80M,43022,C,ALL,1221,0.2756134926369696,0.23038536712930008,-0.4484708886303734,-1.3925108022249497,-1.1168973095879802,0.5059988597662697,-0.17285739599340377,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_ge2,1205,0.2738375263713702,0.2225531399744675,-0.46034965971446135,-1.4169245431161026,-1.1430870167447325,0.49639066634583767,-0.18651213334309116,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_ge3,716,0.4456467477282166,0.143810989938718,-0.435225971813142,-1.6990518796897633,-1.253405131961547,0.5894577376669345,0.010420775915074615,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_updates_1,16,0.4093659520149231,0.8202499747276306,0.4461490586400032,0.4461490586400032,0.8555150106549263,1.2296159267425537,0.8555150106549263,1.0,8.5
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_updates_2,489,0.022272286102449967,0.33784839442354037,-0.4971360820812194,-1.0038301198303334,-0.9815578337278834,0.36012068052599033,-0.47486379597876943,2.0,8.366053169734151
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_updates_3,296,0.38527417359118526,0.007930272586039594,-0.4582185723592301,-1.6734972882361427,-1.2882231146449576,0.39320444617722483,-0.0729443987680448,3.0,9.54054054054054
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_updates_4,326,0.4339775431421271,0.2944527184990652,-0.4306807469553743,-1.6906254060246462,-1.256647862882519,0.7284302616411923,0.003296796186752846,4.0,10.13803680981595
entity_ablation,D,D_C_43022,chck_80M,43022,C,rel_updates_5,94,0.6762259247455191,0.049252360425096876,-0.3785869669406972,-1.8087453848504005,-1.1325194601048814,0.725478285170616,0.2976389578048219,5.0,10.106382978723405
entity_ablation,D,D_C_43022,chck_80M,43022,C,type_ambiref,399,0.7100164292749008,0.10294210604557716,-0.404345352846877,-0.9111160077248002,-0.2010995784498994,0.812958535320478,0.30567107642802377,3.0526315789473686,9.230576441102757
entity_ablation,D,D_C_43022,chck_80M,43022,C,type_move_contents,381,-0.20523723883657005,0.3333830394417908,-0.41676486484960623,-1.5695421494875994,-1.7747793883241694,0.12814580060522074,-0.6220021036861763,2.900262467191601,9.401574803149606
entity_ablation,D,D_C_43022,chck_80M,43022,C,type_regular,441,0.2980111274961171,0.25670679121398604,-0.5157862714831791,-1.6751130237634761,-1.377101896267359,0.5547179187101031,-0.21777514398706202,3.0226757369614514,9.16326530612245
entity_ablation,D,D_C_43022,chck_90M,43022,C,ALL,1221,0.4475412531912229,0.18591526492112098,-0.5485488142830417,-1.9018494901716416,-1.4543082369804188,0.6334565181123439,-0.10100756109181874,2.994266994266994,9.25962325962326
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_ge2,1205,0.44504206557429676,0.18095004827835254,-0.5633751551315374,-1.9346449686252971,-1.4896029030510005,0.6259921138526493,-0.11833308955724062,3.020746887966805,9.269709543568466
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_ge3,716,0.6784184379295014,0.08044103402436278,-0.5434406352874578,-2.3317314502965223,-1.6533130123670208,0.7588594719538642,0.13497780264204357,3.717877094972067,9.886871508379889
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_updates_1,16,0.6357613205909729,0.5598581433296204,0.5680599808692932,0.5680599808692932,1.2038213014602661,1.1956194639205933,1.2038213014602661,1.0,8.5
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_updates_2,489,0.10332942220757588,0.3281166212964643,-0.592563531835752,-1.3532259075279616,-1.2498964853203858,0.4314460435040402,-0.48923410962817615,2.0,8.366053169734151
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_updates_3,296,0.4679742999928626,-0.08926026281472799,-0.5352500084775021,-2.2851276340693034,-1.8171533340764408,0.3787140371781346,-0.0672757084846396,3.0,9.54054054054054
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_updates_4,326,0.790073331045501,0.243287681219128,-0.5882829254710236,-2.3522261451312736,-1.5621528140857723,1.033361012264629,0.20179040557447753,4.0,10.13803680981595
entity_ablation,D,D_C_43022,chck_90M,43022,C,rel_updates_5,94,0.9538649238170461,0.05005355401242033,-0.41371551758431374,-2.4074065469680948,-1.4535416231510487,1.0039184778294665,0.5401494062327324,5.0,10.106382978723405
